ID,Name,Available Sources,Data Type,Description,Match Sources,Status
DP_RMV_0015,Average Spend 60-90 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_60_to_90_days
Redshift > business_entity_fi_summary > average_spend_last_60_to_90_days
Redshift > business_entity_summary > average_spend_last_60_to_90_days
Redshift > consumer_business_entity_summary > average_spend_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_60_to_90_days
Redshift > consumer_commercial_district_summary > average_spend_last_60_to_90_days
Redshift > commercial_district_fi_summary > average_spend_last_60_to_90_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_60_to_90_days
Redshift > consumer_summary > average_spend_last_60_to_90_days
Redshift > fi_summary > average_spend_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_60_to_90_days
Redshift > raw_descriptor_fi_summary > average_spend_last_60_to_90_days",decimal,Average spending per transaction in the 60-90 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0016,Unique Consumers 60-90 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_60_to_90_days
Redshift > business_entity_fi_summary > unique_consumers_last_60_to_90_days
Redshift > business_entity_summary > unique_consumers_last_60_to_90_days
Redshift > consumer_business_entity_summary > unique_consumers_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_60_to_90_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_60_to_90_days
Redshift > commercial_district_fi_summary > unique_consumers_last_60_to_90_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_60_to_90_days
Redshift > fi_summary > unique_consumers_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_60_to_90_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_60_to_90_days",integer,Number of unique consumers in the 60-90 days ago period. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0017,Transaction Count Last 60 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_60_days
Redshift > business_entity_fi_summary > count_last_60_days
Redshift > business_entity_summary > count_last_60_days
Redshift > consumer_business_entity_summary > count_last_60_days
Redshift > consumer_commercial_district_fi_summary > count_last_60_days
Redshift > consumer_commercial_district_summary > count_last_60_days
Redshift > commercial_district_fi_summary > count_last_60_days
Redshift > category_0_commercial_district_fi_summary > count_last_60_days
Redshift > consumer_summary > count_last_60_days
Redshift > fi_summary > count_last_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_60_days
Redshift > raw_descriptor_fi_summary > count_last_60_days",integer,Number of transactions in the last 60 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0018,Total Spend Last 60 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_60_days
Redshift > business_entity_fi_summary > total_spend_last_60_days
Redshift > business_entity_summary > total_spend_last_60_days
Redshift > consumer_business_entity_summary > total_spend_last_60_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_60_days
Redshift > consumer_commercial_district_summary > total_spend_last_60_days
Redshift > commercial_district_fi_summary > total_spend_last_60_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_60_days
Redshift > consumer_summary > total_spend_last_60_days
Redshift > fi_summary > total_spend_last_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_60_days
Redshift > raw_descriptor_fi_summary > total_spend_last_60_days",decimal,Total spending in the last 60 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0019,Average Spend Last 60 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_60_days
Redshift > business_entity_fi_summary > average_spend_last_60_days
Redshift > business_entity_summary > average_spend_last_60_days
Redshift > consumer_business_entity_summary > average_spend_last_60_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_60_days
Redshift > consumer_commercial_district_summary > average_spend_last_60_days
Redshift > commercial_district_fi_summary > average_spend_last_60_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_60_days
Redshift > consumer_summary > average_spend_last_60_days
Redshift > fi_summary > average_spend_last_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_60_days
Redshift > raw_descriptor_fi_summary > average_spend_last_60_days",decimal,Average spending per transaction in the last 60 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0020,Unique Consumers Last 60 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_60_days
Redshift > business_entity_fi_summary > unique_consumers_last_60_days
Redshift > business_entity_summary > unique_consumers_last_60_days
Redshift > consumer_business_entity_summary > unique_consumers_last_60_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_60_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_60_days
Redshift > commercial_district_fi_summary > unique_consumers_last_60_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_60_days
Redshift > fi_summary > unique_consumers_last_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_60_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_60_days",integer,Number of unique consumers in the last 60 days. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0021,Transaction Count Last 90 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_90_days
Redshift > business_entity_fi_summary > count_last_90_days
Redshift > business_entity_summary > count_last_90_days
Redshift > consumer_business_entity_summary > count_last_90_days
Redshift > consumer_commercial_district_fi_summary > count_last_90_days
Redshift > consumer_commercial_district_summary > count_last_90_days
Redshift > commercial_district_fi_summary > count_last_90_days
Redshift > category_0_commercial_district_fi_summary > count_last_90_days
Redshift > consumer_summary > count_last_90_days
Redshift > fi_summary > count_last_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_90_days
Redshift > raw_descriptor_fi_summary > count_last_90_days",integer,Number of transactions in the last 90 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0022,Total Spend Last 90 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_90_days
Redshift > business_entity_fi_summary > total_spend_last_90_days
Redshift > business_entity_summary > total_spend_last_90_days
Redshift > consumer_business_entity_summary > total_spend_last_90_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_90_days
Redshift > consumer_commercial_district_summary > total_spend_last_90_days
Redshift > commercial_district_fi_summary > total_spend_last_90_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_90_days
Redshift > consumer_summary > total_spend_last_90_days
Redshift > fi_summary > total_spend_last_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_90_days
Redshift > raw_descriptor_fi_summary > total_spend_last_90_days",decimal,Total spending in the last 90 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0023,Average Spend Last 90 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_90_days
Redshift > business_entity_fi_summary > average_spend_last_90_days
Redshift > business_entity_summary > average_spend_last_90_days
Redshift > consumer_business_entity_summary > average_spend_last_90_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_90_days
Redshift > consumer_commercial_district_summary > average_spend_last_90_days
Redshift > commercial_district_fi_summary > average_spend_last_90_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_90_days
Redshift > consumer_summary > average_spend_last_90_days
Redshift > fi_summary > average_spend_last_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_90_days
Redshift > raw_descriptor_fi_summary > average_spend_last_90_days",decimal,Average spending per transaction in the last 90 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0024,Unique Consumers Last 90 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_90_days
Redshift > business_entity_fi_summary > unique_consumers_last_90_days
Redshift > business_entity_summary > unique_consumers_last_90_days
Redshift > consumer_business_entity_summary > unique_consumers_last_90_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_90_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_90_days
Redshift > commercial_district_fi_summary > unique_consumers_last_90_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_90_days
Redshift > fi_summary > unique_consumers_last_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_90_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_90_days",integer,Number of unique consumers in the last 90 days. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0025,Transaction Count Last 180 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_180_days
Redshift > business_entity_fi_summary > count_last_180_days
Redshift > business_entity_summary > count_last_180_days
Redshift > consumer_business_entity_summary > count_last_180_days
Redshift > consumer_commercial_district_fi_summary > count_last_180_days
Redshift > consumer_commercial_district_summary > count_last_180_days
Redshift > commercial_district_fi_summary > count_last_180_days
Redshift > category_0_commercial_district_fi_summary > count_last_180_days
Redshift > consumer_summary > count_last_180_days
Redshift > fi_summary > count_last_180_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_180_days
Redshift > raw_descriptor_fi_summary > count_last_180_days",integer,Number of transactions in the last 180 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0026,Total Spend Last 180 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_180_days
Redshift > business_entity_fi_summary > total_spend_last_180_days
Redshift > business_entity_summary > total_spend_last_180_days
Redshift > consumer_business_entity_summary > total_spend_last_180_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_180_days
Redshift > consumer_commercial_district_summary > total_spend_last_180_days
Redshift > commercial_district_fi_summary > total_spend_last_180_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_180_days
Redshift > consumer_summary > total_spend_last_180_days
Redshift > fi_summary > total_spend_last_180_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_180_days
Redshift > raw_descriptor_fi_summary > total_spend_last_180_days",decimal,Total spending in the last 180 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0027,Average Spend Last 180 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_180_days
Redshift > business_entity_fi_summary > average_spend_last_180_days
Redshift > business_entity_summary > average_spend_last_180_days
Redshift > consumer_business_entity_summary > average_spend_last_180_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_180_days
Redshift > consumer_commercial_district_summary > average_spend_last_180_days
Redshift > commercial_district_fi_summary > average_spend_last_180_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_180_days
Redshift > consumer_summary > average_spend_last_180_days
Redshift > fi_summary > average_spend_last_180_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_180_days
Redshift > raw_descriptor_fi_summary > average_spend_last_180_days",decimal,Average spending per transaction in the last 180 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0028,Unique Consumers Last 180 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_180_days
Redshift > business_entity_fi_summary > unique_consumers_last_180_days
Redshift > business_entity_summary > unique_consumers_last_180_days
Redshift > consumer_business_entity_summary > unique_consumers_last_180_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_180_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_180_days
Redshift > commercial_district_fi_summary > unique_consumers_last_180_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_180_days
Redshift > fi_summary > unique_consumers_last_180_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_180_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_180_days",integer,Number of unique consumers in the last 180 days. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0029,Transaction Count Last 365 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_365_days
Redshift > business_entity_fi_summary > count_last_365_days
Redshift > business_entity_summary > count_last_365_days
Redshift > consumer_business_entity_summary > count_last_365_days
Redshift > consumer_commercial_district_fi_summary > count_last_365_days
Redshift > consumer_commercial_district_summary > count_last_365_days
Redshift > commercial_district_fi_summary > count_last_365_days
Redshift > category_0_commercial_district_fi_summary > count_last_365_days
Redshift > consumer_summary > count_last_365_days
Redshift > fi_summary > count_last_365_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_365_days
Redshift > raw_descriptor_fi_summary > count_last_365_days",integer,Number of transactions in the last 365 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
